Source,Target,Weight,Type
590,4429,1.0,Directed
592,4429,1.0,Directed
593,3509,1.0,Directed
595,4270,1.0,Directed
596,4270,1.0,Directed
599,4429,1.0,Directed
600,7949,1.0,Directed
601,4429,1.0,Directed
602,4429,1.0,Directed
602,7576,1.0,Directed
603,3190,1.0,Directed
604,766,1.0,Directed
605,3190,1.0,Directed
605,7949,1.0,Directed
606,203,1.0,Directed
606,3022,1.0,Directed
608,2702,1.0,Directed
609,4429,1.0,Directed
611,4077,1.0,Directed
612,2099,1.0,Directed
613,1410,1.0,Directed
616,4429,1.0,Directed
617,4429,1.0,Directed
618,5810,1.0,Directed
618,7180,1.0,Directed
619,3326,1.0,Directed
624,3326,1.0,Directed
625,3399,1.0,Directed
625,4623,1.0,Directed
625,7949,1.0,Directed
626,4323,1.0,Directed
627,3509,1.0,Directed
629,1076,1.0,Directed
630,3022,1.0,Directed
630,3399,1.0,Directed
630,7949,1.0,Directed
630,7963,1.0,Directed
630,8571,1.0,Directed
631,6252,1.0,Directed
633,4429,1.0,Directed
634,4429,1.0,Directed
635,3326,1.0,Directed
635,3399,1.0,Directed
636,3326,1.0,Directed
637,1076,1.0,Directed
637,4429,1.0,Directed
639,3190,1.0,Directed
640,7305,1.0,Directed
641,3373,1.0,Directed
642,4270,1.0,Directed
642,4429,1.0,Directed
644,3022,1.0,Directed
644,5804,1.0,Directed
644,7949,1.0,Directed
645,8206,1.0,Directed
647,5135,1.0,Directed
648,1076,1.0,Directed
648,4429,1.0,Directed
648,6998,1.0,Directed
650,4429,1.0,Directed
651,3373,1.0,Directed
651,3993,1.0,Directed
652,4713,1.0,Directed
653,3326,1.0,Directed
654,1076,1.0,Directed
655,4623,1.0,Directed
655,7180,1.0,Directed
656,27,1.0,Directed
657,2879,1.0,Directed
658,3190,1.0,Directed
659,4429,1.0,Directed
659,6252,1.0,Directed
660,6998,1.0,Directed
661,4429,1.0,Directed
662,7778,1.0,Directed
662,7949,1.0,Directed
663,1410,1.0,Directed
663,3190,1.0,Directed
663,5349,1.0,Directed
663,7180,1.0,Directed
663,8663,1.0,Directed
664,3832,1.0,Directed
665,6252,1.0,Directed
666,6998,1.0,Directed
667,109,1.0,Directed
668,3509,1.0,Directed
669,4429,1.0,Directed
670,109,1.0,Directed
672,4270,1.0,Directed
672,4429,1.0,Directed
673,4429,1.0,Directed
676,5810,1.0,Directed
677,109,1.0,Directed
677,4429,1.0,Directed
679,1076,1.0,Directed
681,2468,1.0,Directed
684,3832,1.0,Directed
685,4429,1.0,Directed
687,4429,1.0,Directed
688,27,1.0,Directed
689,3190,1.0,Directed
689,5416,1.0,Directed
690,4429,1.0,Directed
691,7392,1.0,Directed
692,109,1.0,Directed
693,3509,1.0,Directed
693,3993,1.0,Directed
694,4429,1.0,Directed
695,4429,1.0,Directed
696,4429,1.0,Directed
697,4429,1.0,Directed
698,7305,1.0,Directed
699,3022,1.0,Directed
700,1410,1.0,Directed
701,6998,1.0,Directed
702,6998,1.0,Directed
703,3509,1.0,Directed
704,2504,1.0,Directed
705,7949,1.0,Directed
707,3190,1.0,Directed
708,8904,1.0,Directed
709,7949,1.0,Directed
710,4429,1.0,Directed
712,6252,1.0,Directed
713,3022,1.0,Directed
714,4429,1.0,Directed
715,4429,1.0,Directed
717,3373,1.0,Directed
718,3190,1.0,Directed
718,4270,1.0,Directed
719,4270,1.0,Directed
720,203,1.0,Directed
720,766,1.0,Directed
720,1076,1.0,Directed
720,1978,1.0,Directed
720,3022,1.0,Directed
720,3326,1.0,Directed
720,3373,1.0,Directed
720,3399,1.0,Directed
720,3509,1.0,Directed
720,3681,1.0,Directed
720,3832,1.0,Directed
720,3846,1.0,Directed
720,3993,1.0,Directed
720,4270,1.0,Directed
720,4429,1.0,Directed
720,4623,1.0,Directed
720,4713,1.0,Directed
720,5130,1.0,Directed
720,5349,1.0,Directed
720,6252,1.0,Directed
720,7180,1.0,Directed
720,7949,1.0,Directed
720,7962,1.0,Directed
720,9381,1.0,Directed
721,3326,1.0,Directed
721,3509,1.0,Directed
721,4429,1.0,Directed
721,6252,1.0,Directed
721,7446,1.0,Directed
723,3399,1.0,Directed
724,1978,1.0,Directed
725,3190,1.0,Directed
726,4270,1.0,Directed
728,6252,1.0,Directed
730,8654,1.0,Directed
731,6998,1.0,Directed
732,4429,1.0,Directed
733,3190,1.0,Directed
734,7778,1.0,Directed
736,3190,1.0,Directed
736,3993,1.0,Directed
736,4429,1.0,Directed
736,5589,1.0,Directed
737,6252,1.0,Directed
739,4429,1.0,Directed
741,4270,1.0,Directed
742,4270,1.0,Directed
742,7963,1.0,Directed
743,392,1.0,Directed
743,2099,1.0,Directed
743,2468,1.0,Directed
743,9643,1.0,Directed
744,3993,1.0,Directed
745,3993,1.0,Directed
746,3022,1.0,Directed
746,4077,1.0,Directed
748,4089,1.0,Directed
748,7949,1.0,Directed
749,6252,1.0,Directed
749,8654,1.0,Directed
749,8663,1.0,Directed
750,4270,1.0,Directed
751,3324,1.0,Directed
752,3509,1.0,Directed
752,3749,1.0,Directed
754,2412,1.0,Directed
756,4429,1.0,Directed
758,4429,1.0,Directed
759,1270,1.0,Directed
759,2504,1.0,Directed
759,3993,1.0,Directed
759,4429,1.0,Directed
759,5810,1.0,Directed
759,6998,1.0,Directed
759,8904,1.0,Directed
760,4429,1.0,Directed
761,3993,1.0,Directed
761,4697,1.0,Directed
761,5810,1.0,Directed
761,7180,1.0,Directed
762,1816,1.0,Directed
764,4429,1.0,Directed
765,4089,1.0,Directed
766,3509,1.0,Directed
766,3993,1.0,Directed
766,4429,1.0,Directed
766,6223,1.0,Directed
767,6998,1.0,Directed
768,5349,1.0,Directed
769,7949,1.0,Directed
771,4429,1.0,Directed
772,3190,1.0,Directed
773,1076,1.0,Directed
773,4429,1.0,Directed
774,2702,1.0,Directed
774,3509,1.0,Directed
775,4429,1.0,Directed
776,4429,1.0,Directed
777,6998,1.0,Directed
778,7180,1.0,Directed
780,3053,1.0,Directed
782,4623,1.0,Directed
783,5405,1.0,Directed
784,5416,1.0,Directed
785,8630,1.0,Directed
786,4429,1.0,Directed
787,191,1.0,Directed
787,1076,1.0,Directed
787,3326,1.0,Directed
787,4429,1.0,Directed
788,4270,1.0,Directed
789,5130,1.0,Directed
790,4429,1.0,Directed
791,4429,1.0,Directed
792,109,1.0,Directed
794,4270,1.0,Directed
795,6252,1.0,Directed
796,109,1.0,Directed
796,3399,1.0,Directed
797,4429,1.0,Directed
798,7180,1.0,Directed
799,109,1.0,Directed
800,3190,1.0,Directed
801,4270,1.0,Directed
802,8663,1.0,Directed
805,4429,1.0,Directed
806,3022,1.0,Directed
807,3190,1.0,Directed
807,3509,1.0,Directed
807,3832,1.0,Directed
807,7305,1.0,Directed
807,7949,1.0,Directed
808,4429,1.0,Directed
809,109,1.0,Directed
809,9199,1.0,Directed
810,7180,1.0,Directed
811,7305,1.0,Directed
812,3190,1.0,Directed
812,3832,1.0,Directed
812,3993,1.0,Directed
813,3509,1.0,Directed
813,4429,1.0,Directed
814,1270,1.0,Directed
814,7949,1.0,Directed
814,8654,1.0,Directed
815,3846,1.0,Directed
816,109,1.0,Directed
817,4619,1.0,Directed
818,3509,1.0,Directed
819,6252,1.0,Directed
821,4429,1.0,Directed
822,4429,1.0,Directed
823,4429,1.0,Directed
824,2468,1.0,Directed
825,3509,1.0,Directed
826,7180,1.0,Directed
827,4429,1.0,Directed
828,3509,1.0,Directed
829,6252,1.0,Directed
830,7949,1.0,Directed
834,4270,1.0,Directed
835,4429,1.0,Directed
836,6252,1.0,Directed
837,4429,1.0,Directed
838,191,1.0,Directed
838,4429,1.0,Directed
839,3749,1.0,Directed
840,7949,1.0,Directed
841,8571,1.0,Directed
843,4429,1.0,Directed
845,1978,1.0,Directed
845,3326,1.0,Directed
845,3509,1.0,Directed
845,3749,1.0,Directed
845,4429,1.0,Directed
845,5135,1.0,Directed
845,7949,1.0,Directed
846,6252,1.0,Directed
848,541,1.0,Directed
848,7180,1.0,Directed
849,109,1.0,Directed
850,4429,1.0,Directed
851,4270,1.0,Directed
853,4901,1.0,Directed
854,4429,1.0,Directed
855,4429,1.0,Directed
857,3190,1.0,Directed
858,3993,1.0,Directed
858,8433,1.0,Directed
859,7963,1.0,Directed
860,1724,1.0,Directed
862,1076,1.0,Directed
862,9550,1.0,Directed
863,4429,1.0,Directed
864,4623,1.0,Directed
865,4713,1.0,Directed
866,6252,1.0,Directed
868,109,1.0,Directed
869,4901,1.0,Directed
871,8433,1.0,Directed
873,4697,1.0,Directed
874,3190,1.0,Directed
875,6993,1.0,Directed
877,4429,1.0,Directed
878,4270,1.0,Directed
878,7180,1.0,Directed
880,8654,1.0,Directed
881,6998,1.0,Directed
882,2468,1.0,Directed
884,7180,1.0,Directed
885,3509,1.0,Directed
886,3681,1.0,Directed
887,3190,1.0,Directed
888,3190,1.0,Directed
889,3509,1.0,Directed
889,8663,1.0,Directed
890,3324,1.0,Directed
890,3326,1.0,Directed
890,3749,1.0,Directed
