Source,Target,Weight,Type
336,3445,2.0,Directed
337,870,4.0,Directed
337,1419,8.0,Directed
337,2571,5.0,Directed
338,870,8.0,Directed
338,1419,7.0,Directed
339,2595,3.0,Directed
340,9,6.0,Directed
341,870,8.0,Directed
341,1320,3.0,Directed
341,1419,8.0,Directed
342,870,2.0,Directed
342,1090,3.0,Directed
342,2463,2.0,Directed
343,3627,6.0,Directed
346,139,21.0,Directed
346,606,6.0,Directed
346,870,19.0,Directed
346,1419,16.0,Directed
346,2394,3.0,Directed
348,1069,3.0,Directed
350,870,8.0,Directed
350,1419,8.0,Directed
351,297,4.0,Directed
351,1419,16.0,Directed
352,2266,2.0,Directed
352,2571,6.0,Directed
355,276,3.0,Directed
355,2586,6.0,Directed
356,1351,3.0,Directed
356,1765,9.0,Directed
356,2586,3.0,Directed
357,214,6.0,Directed
360,870,12.0,Directed
360,1419,3.0,Directed
363,748,2.0,Directed
365,18,4.0,Directed
365,870,4.0,Directed
365,1419,18.0,Directed
366,870,12.0,Directed
369,2571,3.0,Directed
370,3566,3.0,Directed
371,870,20.0,Directed
371,1193,6.0,Directed
371,1719,3.0,Directed
371,2571,24.0,Directed
372,870,27.0,Directed
372,1419,35.0,Directed
372,2586,17.0,Directed
375,1591,2.0,Directed
376,2951,6.0,Directed
378,1419,20.0,Directed
378,2537,3.0,Directed
379,144,2.0,Directed
381,1012,2.0,Directed
382,1419,27.0,Directed
384,631,3.0,Directed
385,2059,4.0,Directed
389,568,3.0,Directed
389,748,9.0,Directed
389,870,16.0,Directed
389,1348,6.0,Directed
400,2571,9.0,Directed
402,3317,3.0,Directed
403,1419,3.0,Directed
403,1994,3.0,Directed
403,2570,3.0,Directed
404,3192,2.0,Directed
405,9,12.0,Directed
406,2571,77.0,Directed
407,1583,6.0,Directed
409,1419,19.0,Directed
410,1855,3.0,Directed
411,2681,2.0,Directed
412,1419,2.0,Directed
413,965,9.0,Directed
414,2414,3.0,Directed
415,1936,3.0,Directed
416,2848,3.0,Directed
417,3313,3.0,Directed
420,318,3.0,Directed
421,737,15.0,Directed
422,858,3.0,Directed
425,59,11.0,Directed
425,870,10.0,Directed
425,2586,8.0,Directed
425,2865,4.0,Directed
428,1419,2.0,Directed
429,1419,6.0,Directed
431,870,4.0,Directed
431,2571,5.0,Directed
432,870,3.0,Directed
432,2586,4.0,Directed
435,678,3.0,Directed
436,2095,3.0,Directed
437,870,8.0,Directed
437,1419,8.0,Directed
438,1391,3.0,Directed
442,461,3.0,Directed
445,1419,12.0,Directed
447,304,3.0,Directed
452,3135,6.0,Directed
453,78,2.0,Directed
455,1013,3.0,Directed
456,2858,4.0,Directed
457,2571,9.0,Directed
459,2589,3.0,Directed
460,870,8.0,Directed
460,1419,7.0,Directed
464,2571,9.0,Directed
465,870,3.0,Directed
466,2586,24.0,Directed
468,870,12.0,Directed
468,2581,3.0,Directed
469,298,2.0,Directed
469,849,2.0,Directed
470,870,11.0,Directed
470,1419,9.0,Directed
470,1788,3.0,Directed
470,2571,4.0,Directed
473,3135,3.0,Directed
476,1030,2.0,Directed
481,870,3.0,Directed
481,1591,13.0,Directed
482,3163,3.0,Directed
483,2271,30.0,Directed
486,62,3.0,Directed
488,2388,6.0,Directed
489,870,12.0,Directed
490,2255,6.0,Directed
491,1271,3.0,Directed
493,1708,4.0,Directed
494,1086,9.0,Directed
495,3383,3.0,Directed
498,1107,9.0,Directed
499,1419,12.0,Directed
502,2595,3.0,Directed
502,2657,2.0,Directed
503,1503,3.0,Directed
504,870,5.0,Directed
504,1419,16.0,Directed
505,870,8.0,Directed
505,2586,48.0,Directed
505,3520,6.0,Directed
506,2571,12.0,Directed
507,3021,3.0,Directed
508,870,8.0,Directed
508,1032,3.0,Directed
508,1419,4.0,Directed
508,2230,3.0,Directed
508,2328,2.0,Directed
510,748,4.0,Directed
510,1419,16.0,Directed
