id,number,author,mergedBy,comments,reviews
PR_kwDOCqswNs5a1RrO,5458,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5nCHhm', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5ba6eL,5467,{'login': 'davidkna'},,"[{'id': 'IC_kwDOCqswNs5qNpPM', 'author': {'login': 'lutzky'}}, {'id': 'IC_kwDOCqswNs5qPPJn', 'author': {'login': 'davidkna'}}]","[{'id': 'PRR_kwDOCqswNs5i-yVY', 'state': 'APPROVED', 'author': {'login': 'lutzky'}}]"
PR_kwDOCqswNs5bl5m5,5469,{'login': 'oddlama'},,"[{'id': 'IC_kwDOCqswNs6GZItp', 'author': {'login': 'oddlama'}}]",[]
PR_kwDOCqswNs5bmARv,5470,{'login': 'vhdirk'},,"[{'id': 'IC_kwDOCqswNs5n0muP', 'author': {'login': 'davidkna'}}]",[]
PR_kwDOCqswNs5bmvZb,5472,{'login': 'renovate'},,[],[]
PR_kwDOCqswNs5bmvy6,5473,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5n1Ise', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5bmwiH,5474,{'login': 'davidkna'},{'login': 'matchai'},[],[]
PR_kwDOCqswNs5bm-4O,5475,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5n1Tuv', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5bncEO,5476,{'login': 'vhdirk'},,[],"[{'id': 'PRR_kwDOCqswNs5lgQIf', 'state': 'COMMENTED', 'author': {'login': 'davidkna'}}]"
PR_kwDOCqswNs5bqOe_,5477,{'login': 'officialrajdeepsingh'},,"[{'id': 'IC_kwDOCqswNs5sd1Rg', 'author': {'login': 'davidkna'}}]","[{'id': 'PRR_kwDOCqswNs5kEGQM', 'state': 'COMMENTED', 'author': {'login': 'davidkna'}}, {'id': 'PRR_kwDOCqswNs5kEHys', 'state': 'COMMENTED', 'author': {'login': 'officialrajdeepsingh'}}, {'id': 'PRR_kwDOCqswNs5lgQJ4', 'state': 'COMMENTED', 'author': {'login': 'davidkna'}}, {'id': 'PRR_kwDOCqswNs5nHvy6', 'state': 'COMMENTED', 'author': {'login': 'mickimnet'}}]"
PR_kwDOCqswNs5bvp-6,5478,{'login': 'HeyItsGilbert'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5oBd_s', 'author': {'login': 'HeyItsGilbert'}}, {'id': 'IC_kwDOCqswNs5oCPkP', 'author': {'login': 'davidkna'}}, {'id': 'IC_kwDOCqswNs5pAXOJ', 'author': {'login': 'HeyItsGilbert'}}, {'id': 'IC_kwDOCqswNs5qtPOZ', 'author': {'login': 'davidkna'}}, {'id': 'IC_kwDOCqswNs5sV5wI', 'author': {'login': 'HeyItsGilbert'}}, {'id': 'IC_kwDOCqswNs5s2y7C', 'author': {'login': 'davidkna'}}, {'id': 'IC_kwDOCqswNs5wdrsT', 'author': {'login': 'NikGovorov'}}]","[{'id': 'PRR_kwDOCqswNs5ipY76', 'state': 'CHANGES_REQUESTED', 'author': {'login': 'davidkna'}}, {'id': 'PRR_kwDOCqswNs5kETqY', 'state': 'COMMENTED', 'author': {'login': 'davidkna'}}, {'id': 'PRR_kwDOCqswNs5lgXQ3', 'state': 'COMMENTED', 'author': {'login': 'HeyItsGilbert'}}, {'id': 'PRR_kwDOCqswNs5lnNAl', 'state': 'COMMENTED', 'author': {'login': 'davidkna'}}, {'id': 'PRR_kwDOCqswNs5nv_eP', 'state': 'APPROVED', 'author': {'login': 'davidkna'}}]"
PR_kwDOCqswNs5b2sLi,5480,{'login': 'YoshidaRyoko'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5qVyO8', 'author': {'login': 'davidkna'}}]","[{'id': 'PRR_kwDOCqswNs5jK7ix', 'state': 'APPROVED', 'author': {'login': 'davidkna'}}]"
PR_kwDOCqswNs5ciyq2,5486,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5oyvjq', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5c0CWH,5489,{'login': 'sharunkumar'},,[],"[{'id': 'PRR_kwDOCqswNs5kC_1j', 'state': 'COMMENTED', 'author': {'login': 'arunsathiya'}}, {'id': 'PRR_kwDOCqswNs5ldSiO', 'state': 'COMMENTED', 'author': {'login': 'arunsathiya'}}, {'id': 'PRR_kwDOCqswNs5ldT2H', 'state': 'COMMENTED', 'author': {'login': 'arunsathiya'}}, {'id': 'PRR_kwDOCqswNs5ldjAR', 'state': 'COMMENTED', 'author': {'login': 'sharunkumar'}}]"
PR_kwDOCqswNs5c1I4O,5490,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5pGzN_', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5c1Mmt,5491,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5pG24c', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5c1Yy4,5492,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5pHBZZ', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5c1YzM,5493,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5pHBZn', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5c1fCV,5494,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5pHGtd', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5c1fC2,5495,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5pHGt1', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5c1g5j,5496,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5pHIH1', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5c1g7b,5497,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5pHIJ5', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5c1sHK,5498,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5pHQ7V', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5c2k5L,5499,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5pIBEV', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5c4fqC,5500,{'login': 'pe'},,"[{'id': 'IC_kwDOCqswNs5sjul9', 'author': {'login': 'pe'}}, {'id': 'IC_kwDOCqswNs5sj1Xg', 'author': {'login': 'davidkna'}}, {'id': 'IC_kwDOCqswNs5sldfY', 'author': {'login': 'pe'}}, {'id': 'IC_kwDOCqswNs52cuMP', 'author': {'login': 'ikalnytskyi'}}]",[]
PR_kwDOCqswNs5c8AgU,5501,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5pNaf2', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5c84kf,5502,{'login': 'renovate'},{'login': 'davidkna'},"[{'id': 'IC_kwDOCqswNs5pOQTW', 'author': {'login': 'renovate'}}]",[]
PR_kwDOCqswNs5dDP9n,5504,{'login': 'jeff999955'},,"[{'id': 'IC_kwDOCqswNs5qVybz', 'author': {'login': 'davidkna'}}, {'id': 'IC_kwDOCqswNs5sd1uU', 'author': {'login': 'davidkna'}}]",[]
