Id,Label,betweenness_centrality,bridging_node,closeness_centrality,clustering_coefficient,degree_centrality,eigenvector_centrality,in_degree_centrality,out_degree_centrality,pagerank
51,mpsommer,0.0,1,0.15189194607703757,0.002449208724632591,0.00043329903049341926,6.293911617308233e-05,5.416237881167741e-05,0.00037913665168174185,1.9691048405097827e-05
52,mullim,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
53,Flimm,7.676635677525191e-05,0,0.17149206953503504,0.001875447560743804,0.0007582733033634837,0.00023986145476281444,0.00043329903049341926,0.00032497427287006444,3.4512105318694654e-05
54,mkvlrn,0.0,1,0.14415483779186258,0.0005696305856075569,0.00016248713643503222,2.424566349140198e-05,0.00016248713643503222,0.0,2.8339931590744258e-05
55,a7madgamal,0.0,0,0.13568808520794276,0,0.00010832475762335481,1.208737010200658e-06,5.416237881167741e-05,5.416237881167741e-05,1.865846578701916e-05
56,comods,2.2527052712660554e-06,1,0.16640614308877383,0.0021163261834704706,0.00043329903049341926,4.997379280907834e-05,0.00016248713643503222,0.00027081189405838704,2.1247250788776602e-05
57,AdrianoRobson,1.2380365625808221e-05,0,0.15019298765657055,0.0007749919710144629,0.00016248713643503222,2.193937493693173e-05,0.00010832475762335481,5.416237881167741e-05,2.0916369984661236e-05
58,Miguel736j,0.0,0,0.13301417760112502,0,5.416237881167741e-05,1.038543048476161e-06,5.416237881167741e-05,0.0,1.8320585609290343e-05
59,DmitryAstafyev,0.0,0,0.14994997709738508,0,5.416237881167741e-05,3.700622094099608e-05,5.416237881167741e-05,0.0,1.9339668978723636e-05
60,JacksonKearl,0.0,0,0.1371426388903574,0,5.416237881167741e-05,2.2235762958335946e-06,5.416237881167741e-05,0.0,1.8329341132906377e-05
61,tcf909,0.0,1,0.1509150266109557,0.0010249117514029345,0.00016248713643503222,4.0520111766956724e-05,0.00010832475762335481,5.416237881167741e-05,1.9868869397296973e-05
62,nitsky,0.0,1,0.1455245902466228,0,0.00010832475762335481,1.4103898101239646e-05,0.00010832475762335481,0.0,2.088694906272755e-05
63,BenukEl,0.0,0,0.1360943688513958,0,5.416237881167741e-05,1.0455110722528085e-06,5.416237881167741e-05,0.0,1.867167298099086e-05
64,vortexilation,0.0,0,0.0,0,0.0,4.294358337092288e-47,0.0,0.0,1.7859914401366047e-05
65,christyleung1987,0.0,0,0.16127418535984664,0.002760545862109999,0.00037913665168174185,6.28480646411851e-05,0.00016248713643503222,0.00021664951524670963,2.0280575697421354e-05
66,mihailik,0.0,0,0.1451616678252008,0,0.00010832475762335481,4.962480796561986e-06,5.416237881167741e-05,5.416237881167741e-05,1.8691003302571966e-05
67,neil-119,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
68,Drithyl,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
69,murakami,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
70,IdkGoodName,0.0,0,0.15654182718850404,0.0010595141261896927,0.00027081189405838704,3.6825111138166596e-05,0.00027081189405838704,0.0,2.3329053826090872e-05
71,zhangyy985,0.0,1,0.14551335105907726,0,0.00010832475762335481,7.051932547245771e-06,0.00010832475762335481,0.0,3.3929958345153844e-05
72,Phantomghost1,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
73,armoreal,0.0,1,0.17029908177788752,0.0008040884638626474,0.00037913665168174185,6.854150717231136e-05,0.00037913665168174185,0.0,5.904617168888081e-05
74,jianliao,0.0,1,0.13559938032454386,0,0.00016248713643503222,1.7248269125346283e-06,0.00016248713643503222,0.0,4.943969858775828e-05
75,ddimitrioglo,0.0,1,0.14667617271144265,0.0011284725402852793,0.00010832475762335481,8.476371622522634e-06,0.00010832475762335481,0.0,1.9220203721145302e-05
76,j-r-smith,0.0,0,0.1560417151472335,0.0019366524864521516,0.00010832475762335481,2.8564649361467863e-05,0.00010832475762335481,0.0,1.937767855397138e-05
77,wzup,0.0,0,0.13568808520794276,0.0007679461994714447,0.00016248713643503222,1.208737010200658e-06,5.416237881167741e-05,0.00010832475762335481,1.865846578701916e-05
78,cyrilchapon,0.0,1,0.1679941551454971,0.001090639869062176,0.00032497427287006444,6.0626551818803534e-05,0.00032497427287006444,0.0,2.2963463383628245e-05
79,KristianRykkje,0.0,1,0.15189194607703757,0.0017564866503315543,0.00016248713643503222,3.1469558086541166e-05,5.416237881167741e-05,0.00010832475762335481,1.8775481403231937e-05
80,v12,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
81,sysmat,0.0,1,0.1564581818090957,0.0007970370655716919,0.00021664951524670963,5.3641968033610686e-05,0.00021664951524670963,0.0,3.728110647150236e-05
82,Rstar1998,0.0,1,0.15433597711069516,0.0006532002470612515,0.00010832475762335481,1.8134433425887492e-05,0.00010832475762335481,0.0,2.0069523458748393e-05
83,BrettHoutz,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
84,Subnum12,0.0,0,0.13557876319274428,0,5.416237881167741e-05,8.66463889694607e-06,5.416237881167741e-05,0.0,1.9144184267719862e-05
85,jenishkatuwal11,0.0,0,0.0,0,0.0,4.294358337092288e-47,0.0,0.0,1.7859914401366047e-05
86,bajian,0.0,0,0.11184534744260953,0,5.416237881167741e-05,2.601930780971908e-09,5.416237881167741e-05,0.0,1.9042919350349373e-05
87,hegerdes,0.0,0,0.14548358750424126,0,5.416237881167741e-05,2.8207730188983082e-05,5.416237881167741e-05,0.0,2.0112669920075793e-05
88,LakshmiSwethaG,1.0169805167230114e-05,1,0.16931446898944447,0.0028299459032888434,0.0009749228186101933,0.00020058015816385528,0.00043329903049341926,0.0005416237881167741,3.581464336230182e-05
89,Cellule,1.2974153487875116e-07,1,0.1372601001736961,0.0002654383878166577,0.00021664951524670963,2.476567737299195e-06,0.00016248713643503222,5.416237881167741e-05,2.12044267410883e-05
90,daltonna,0.0,1,0.0,0,0.00021664951524670963,4.294358337092288e-47,0.0,0.00021664951524670963,1.7859914401366047e-05
91,zerdos,0.0,0,0.15348551149695128,0,0.00010832475762335481,1.5560840564577286e-05,5.416237881167741e-05,5.416237881167741e-05,1.8925760151280862e-05
92,stsoib,0.0,0,0.14300946230469833,0,0.00010832475762335481,2.3790280537748625e-05,0.00010832475762335481,0.0,3.531204016250796e-05
93,p4rkjeno,0.0,0,0.0,0,0.0,4.294358337092288e-47,0.0,0.0,1.7859914401366047e-05
94,kaloprominat,0.0,0,0.16210226702943759,0.001334654208037664,0.00016248713643503222,3.1078342867213844e-05,0.00016248713643503222,0.0,2.138465323095232e-05
95,ginonott,1.5802507541635448e-05,1,0.15560715688453725,0.001737719525759447,0.00048746140930509667,2.4263035266153433e-05,0.00016248713643503222,0.00032497427287006444,1.9558891987688103e-05
96,blueiceprj,0.0,0,0.14548358750424126,0,5.416237881167741e-05,7.051932547245771e-06,5.416237881167741e-05,0.0,1.8423103281043483e-05
97,rstagi,1.819001412273104e-07,1,0.1539104436993238,0.000256993378470022,0.00027081189405838704,3.2212882928916566e-05,0.00016248713643503222,0.00010832475762335481,2.0988155588806063e-05
98,ImanCol,0.0,0,0.12282910354440067,0,0.00010832475762335481,4.861309993523369e-08,5.416237881167741e-05,5.416237881167741e-05,3.164536845753234e-05
99,F1r3Hydr4nt,0.0,0,0.16133899170302823,0,0.00010832475762335481,2.7999323900710527e-05,5.416237881167741e-05,5.416237881167741e-05,1.9155947060987947e-05
100,mdavis777,0.0,0,0.14518554922495963,0,5.416237881167741e-05,4.962480796561986e-06,5.416237881167741e-05,0.0,1.8691003302571966e-05
101,Chuck-EP,0.0,0,0.16519924347343892,0.0019163951535285887,0.00021664951524670963,4.56753375125643e-05,0.00021664951524670963,0.0,2.2323964647538907e-05
102,vokrik,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
103,Paul-Browne,0.0,0,0.14346819544934586,0,5.416237881167741e-05,3.514935222073732e-05,5.416237881167741e-05,0.0,1.9381114811147612e-05
104,GRBurst,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
105,Alexis374,0.0,0,0.16601623620199962,0.0024792440599869965,0.00032497427287006444,5.792144150326985e-05,0.00016248713643503222,0.00016248713643503222,2.0706280402305837e-05
106,kohei-takata,0.0003780985302584538,0,0.17451508727773224,0.002085808226647615,0.0008665980609868385,0.00013857371339606967,0.00043329903049341926,0.00043329903049341926,2.833765813789055e-05
107,Alexander-Ludwig,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
108,kipio,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
109,mike-zorn,0.0001243185213844601,0,0.14800366156759057,0.0007587132991722529,0.0005416237881167741,8.20443430040707e-06,0.00027081189405838704,0.00027081189405838704,4.079323930915979e-05
110,PaulBlanche,5.948312091116194e-06,1,0.15541975901818167,0.001663839869713384,0.00032497427287006444,3.5386005776415373e-05,0.00016248713643503222,0.00016248713643503222,2.018135453246548e-05
111,sounisi5011,0.0,0,0.12295030272789124,0,0.00010832475762335481,2.2235915364552453e-08,5.416237881167741e-05,5.416237881167741e-05,1.8768138065488754e-05
112,Jaracz42,0.0,0,0.0,0,0.0,4.294358337092288e-47,0.0,0.0,1.7859914401366047e-05
113,AlexCannonball,5.039136455805198e-06,0,0.15123082770455862,0.0010428684502620134,0.00037913665168174185,0.00010710862604826113,0.00010832475762335481,0.00027081189405838704,2.0394361141888446e-05
114,paskakaska,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
115,BlackGlory,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
116,csmart29,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
117,felixge,0.0,0,0.0,0,0.00016248713643503222,4.294358337092288e-47,0.0,0.00016248713643503222,1.7859914401366047e-05
118,NegiAkash890,3.378313694124965e-07,1,0.14350142556581247,0.0010792486652546165,0.00037913665168174185,1.1857670285131834e-05,0.00010832475762335481,0.00027081189405838704,1.8693764127713854e-05
119,foaadnami,0.0,0,0.13987052544233466,0,5.416237881167741e-05,8.168367021468114e-06,5.416237881167741e-05,0.0,1.9164555957564536e-05
120,MEP0981,0.0,0,0.14518554922495963,0,5.416237881167741e-05,4.962480796561986e-06,5.416237881167741e-05,0.0,1.8691003302571966e-05
121,silentroach,7.996739907099458e-05,0,0.16458708254031992,0.0020311857759862874,0.00043329903049341926,0.00022412340752927458,0.00021664951524670963,0.00021664951524670963,8.111090041831883e-05
122,felipealfonsog,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
123,phanizv,0.0,0,0.0,0,0.0,4.294358337092288e-47,0.0,0.0,1.7859914401366047e-05
124,hhugo,5.028419715480633e-05,1,0.15107276212102194,0.000513340042161388,0.00037913665168174185,3.8423359658414834e-05,0.00032497427287006444,5.416237881167741e-05,4.070839642942133e-05
125,kylo5aby,0.0004425634896929678,1,0.17618280824830443,0.0006301980500219454,0.004441315062557547,0.0024858867658974523,0.0014082218491036126,0.003033093213453935,0.00012236756802512275
126,DanielBelz1997,2.078332610049278e-07,0,0.13555574135021659,0,0.00016248713643503222,7.70190124172984e-06,5.416237881167741e-05,0.00010832475762335481,1.900148761590277e-05
127,kamyarghajar,0.0,1,0.15017983662454926,0.00039714487829063726,0.00027081189405838704,3.749918111967739e-05,0.00027081189405838704,0.0,3.656634560836228e-05
128,gultyayev,0.0,1,0.15354956006848025,0.00017022731376645727,0.00037913665168174185,2.4832537480879626e-05,0.00037913665168174185,0.0,8.211061102019197e-05
129,anmolji755w,0.0,0,0.0,0,0.0,4.294358337092288e-47,0.0,0.0,1.7859914401366047e-05
130,firecraftgaming,0.0,0,0.1511233071461973,0.0013942426229140092,0.00048746140930509667,7.049414503878588e-05,5.416237881167741e-05,0.00043329903049341926,1.913440107785497e-05
131,kmccmk9,1.9667719473395835e-05,0,0.1643699689398073,0.0020007965720269844,0.0005957861669284515,3.3819373375055506e-05,0.00021664951524670963,0.00037913665168174185,2.0103994510189167e-05
132,tomsoderlund,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
133,mn4367,0.0,0,0.1422429849647922,0,5.416237881167741e-05,7.700603963533545e-05,5.416237881167741e-05,0.0,2.0732731173124536e-05
134,joshkel,4.641096452124279e-06,0,0.15152888821120997,0.0008613842797958356,0.0005957861669284515,7.398002404553975e-05,0.00016248713643503222,0.00043329903049341926,2.026187967501608e-05
135,Jeyanthinath,3.114085820826077e-05,1,0.16277069356633891,0.0018469666577050126,0.0012998970914802578,9.989010608217524e-05,0.00048746140930509667,0.0008124356821751611,3.4364736966364086e-05
136,x343734282,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
137,DavidsonOtobo,0.0,0,0.14548358750424126,0,5.416237881167741e-05,7.051932547245771e-06,5.416237881167741e-05,0.0,1.8423103281043483e-05
138,JonasUnderscore,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
139,Mirodil,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
140,aruneshchandra,0.00010349582727957506,1,0.14616573890351603,0.000784080367097639,0.0009749228186101933,7.562141173978246e-06,0.00043329903049341926,0.0005416237881167741,4.149097837180018e-05
141,jorydotcom,0.0,0,0.0,0,5.416237881167741e-05,4.294358337092288e-47,0.0,5.416237881167741e-05,1.7859914401366047e-05
142,pkiddie,0.0,0,0.15038743953607142,0.00047678383069737476,0.00021664951524670963,2.4790053593901572e-05,0.00010832475762335481,0.00010832475762335481,1.9901139630319762e-05
143,ArnoldZokas,0.0002433779453645032,1,0.17110229637637786,0.0014801777841508127,0.0010290851974218708,0.00010628296386257822,0.00037913665168174185,0.0006499485457401289,2.426831375963073e-05
144,jharrilim,0.0,1,0.15291903232168597,0.0015743055224120245,0.00010832475762335481,2.7116059390866522e-05,0.00010832475762335481,0.0,1.90757900713388e-05
145,kfranqueiro,3.843874555723996e-08,1,0.14123141012642115,0.0006178493750779908,0.00032497427287006444,2.164799234274222e-05,0.00021664951524670963,0.00010832475762335481,2.806428680778124e-05
146,arendjr,0.0,1,0.14900417396856042,0.0006532002470612515,0.00010832475762335481,3.189635184179846e-05,0.00010832475762335481,0.0,2.2829053104004803e-05
